commodity,timestamp,open,high,low,close
XAU/USD,2025-10-16 18:45:00,4248.07,4250.11,4237.72,4246.92
XAU/USD,2025-10-16 19:00:00,4246.91,4256.15,4246.87,4250.65
XAU/USD,2025-10-16 19:15:00,4250.64,4254.26,4250.64,4250.84
XAU/USD,2025-10-16 19:30:00,4250.84,4251.72,4248.0,4249.68
XAU/USD,2025-10-16 19:45:00,4249.67,4252.02,4246.8,4248.41
XAU/USD,2025-10-16 20:00:00,4248.41,4250.7,4245.46,4246.35
XAU/USD,2025-10-16 20:15:00,4246.34,4246.53,4236.6,4237.41
XAU/USD,2025-10-16 20:30:00,4237.41,4243.54,4236.2,4242.81
XAU/USD,2025-10-16 20:45:00,4242.81,4256.65,4241.77,4254.0
XAU/USD,2025-10-16 21:00:00,4254.26,4260.82,4251.66,4254.99
XAU/USD,2025-10-16 21:15:00,4255.0,4257.59,4251.0,4252.01
XAU/USD,2025-10-16 21:30:00,4252.0,4254.77,4249.9,4254.77
XAU/USD,2025-10-16 21:45:00,4254.77,4259.97,4253.79,4259.65
XAU/USD,2025-10-16 22:00:00,4259.64,4260.33,4256.0,4258.23
XAU/USD,2025-10-16 22:15:00,4258.22,4263.29,4258.22,4261.42
XAU/USD,2025-10-16 22:30:00,4261.41,4266.13,4259.37,4264.26
XAU/USD,2025-10-16 22:45:00,4264.27,4265.01,4258.47,4258.48
XAU/USD,2025-10-16 23:00:00,4258.47,4261.79,4255.3,4260.71
XAU/USD,2025-10-16 23:15:00,4260.71,4261.43,4253.11,4254.93
XAU/USD,2025-10-16 23:30:00,4254.93,4265.92,4246.18,4253.16
XAU/USD,2025-10-16 23:45:00,4253.0,4255.51,4248.01,4250.27
XAU/USD,2025-10-17 00:00:00,4250.14,4259.81,4249.95,4257.29
XAU/USD,2025-10-17 00:15:00,4257.29,4268.86,4257.29,4265.94
XAU/USD,2025-10-17 00:30:00,4265.94,4272.42,4260.52,4270.76
XAU/USD,2025-10-17 00:45:00,4271.12,4273.67,4265.01,4267.11
XAU/USD,2025-10-17 01:00:00,4267.1,4280.0,4265.93,4279.32
XAU/USD,2025-10-17 01:15:00,4279.31,4280.64,4275.79,4278.91
XAU/USD,2025-10-17 01:30:00,4278.9,4284.55,4276.07,4278.0
XAU/USD,2025-10-17 01:45:00,4277.61,4285.14,4275.0,4281.35
XAU/USD,2025-10-17 02:00:00,4281.36,4290.01,4281.0,4288.18
XAU/USD,2025-10-17 02:15:00,4288.18,4297.89,4288.0,4291.35
XAU/USD,2025-10-17 02:30:00,4291.35,4292.09,4286.13,4288.38
XAU/USD,2025-10-17 02:45:00,4288.38,4297.78,4286.56,4292.64
XAU/USD,2025-10-17 03:00:00,4292.65,4298.46,4288.68,4296.82
XAU/USD,2025-10-17 03:15:00,4300.07,4307.0,4300.05,4303.18
XAU/USD,2025-10-17 03:30:00,4310.0,4313.17,4309.42,4310.04
XAU/USD,2025-10-17 03:45:00,4301.26,4308.63,4298.32,4306.26
XAU/USD,2025-10-17 04:00:00,4306.27,4313.84,4302.39,4313.84
XAU/USD,2025-10-17 04:15:00,4313.84,4318.0,4313.83,4317.06
XAU/USD,2025-10-17 04:30:00,4313.81,4315.89,4313.19,4314.91
XAU/USD,2025-10-17 04:45:00,4316.0,4322.89,4314.23,4318.66
XAU/USD,2025-10-17 05:00:00,4318.65,4319.23,4315.62,4317.95
XAU/USD,2025-10-17 05:15:00,4308.83,4315.53,4300.03,4315.52
XAU/USD,2025-10-17 05:30:00,4310.0,4315.51,4309.5,4313.58
XAU/USD,2025-10-17 05:45:00,4314.5,4315.46,4310.81,4312.38
XAU/USD,2025-10-17 06:00:00,4312.38,4319.29,4311.12,4317.07
XAU/USD,2025-10-17 06:15:00,4317.06,4321.86,4314.0,4320.33
XAU/USD,2025-10-17 06:30:00,4320.33,4328.0,4317.18,4323.98
XAU/USD,2025-10-17 06:45:00,4323.98,4336.65,4323.97,4333.33
XAU/USD,2025-10-17 07:00:00,4333.07,4350.05,4333.0,4344.78
XAU/USD,2025-10-17 07:15:00,4344.78,4347.24,4341.52,4345.11
XAU/USD,2025-10-17 07:30:00,4345.09,4351.33,4342.85,4351.33
XAU/USD,2025-10-17 07:45:00,4351.49,4364.33,4351.49,4362.29
XAU/USD,2025-10-17 08:00:00,4362.29,4370.98,4360.93,4370.11
XAU/USD,2025-10-17 08:15:00,4370.1,4379.0,4370.0,4372.72
XAU/USD,2025-10-17 08:30:00,4372.71,4378.13,4372.71,4375.98
XAU/USD,2025-10-17 08:45:00,4375.97,4378.59,4370.0,4373.66
XAU/USD,2025-10-17 09:00:00,4373.66,4790.0,4364.97,4410.69
XAU/USD,2025-10-17 09:15:00,4410.55,4440.0,4393.03,4425.05
XAU/USD,2025-10-17 09:30:00,4425.05,4425.05,4398.53,4418.05
XAU/USD,2025-10-17 09:45:00,4418.05,4427.27,4405.0,4406.76
XAU/USD,2025-10-17 10:00:00,4406.76,4431.48,4406.38,4422.1
XAU/USD,2025-10-17 10:15:00,4422.09,4530.0,4419.93,4465.7
XAU/USD,2025-10-17 10:30:00,4465.71,4465.71,4425.01,4442.95
XAU/USD,2025-10-17 10:45:00,4443.6,4459.71,4433.86,4436.75
XAU/USD,2025-10-17 11:00:00,4436.74,4436.75,4403.42,4410.0
XAU/USD,2025-10-17 11:15:00,4410.01,4415.0,4390.1,4395.83
XAU/USD,2025-10-17 11:30:00,4395.82,4403.18,4390.43,4400.61
XAU/USD,2025-10-17 11:45:00,4400.6,4414.61,4391.68,4394.16
XAU/USD,2025-10-17 12:00:00,4394.16,4394.91,4350.0,4380.2
XAU/USD,2025-10-17 12:15:00,4380.19,4381.02,4345.0,4364.16
XAU/USD,2025-10-17 12:30:00,4364.16,4369.0,4256.0,4322.91
XAU/USD,2025-10-17 12:45:00,4322.99,4343.15,4316.6,4343.14
XAU/USD,2025-10-17 13:00:00,4343.15,4365.5,4341.36,4357.08
XAU/USD,2025-10-17 13:15:00,4357.07,4366.69,4351.3,4361.47
XAU/USD,2025-10-17 13:30:00,4361.47,4371.36,4360.5,4369.91
XAU/USD,2025-10-17 13:45:00,4369.52,4382.8,4368.98,4378.03
XAU/USD,2025-10-17 14:00:00,4378.03,4393.63,4375.28,4393.07
XAU/USD,2025-10-17 14:15:00,4393.08,4395.88,4389.08,4389.45
XAU/USD,2025-10-17 14:30:00,4389.45,4394.54,4389.0,4390.62
XAU/USD,2025-10-17 14:45:00,4390.62,4401.48,4390.21,4401.2
XAU/USD,2025-10-17 15:00:00,4401.27,4432.13,4401.26,4418.05
XAU/USD,2025-10-17 15:15:00,4418.05,4418.96,4405.76,4411.49
XAU/USD,2025-10-17 15:30:00,4411.48,4424.65,4409.83,4413.3
XAU/USD,2025-10-17 15:45:00,4413.3,4427.87,4409.6,4425.69
XAU/USD,2025-10-17 16:00:00,4425.68,4429.39,4416.76,4418.12
XAU/USD,2025-10-17 16:15:00,4418.12,4418.13,4400.67,4406.93
XAU/USD,2025-10-17 16:30:00,4407.26,4409.7,4407.26,4409.69
XAU/USD,2025-10-17 16:45:00,4412.66,4426.31,4411.89,4423.08
