pair,timestamp,open,high,low,close,volume
USD/CHF,2025-10-15 20:15:00,0.80019999,0.8003,0.79996997,0.80021,
USD/CHF,2025-10-15 20:30:00,0.80021,0.80022001,0.79983002,0.80022001,
USD/CHF,2025-10-15 20:45:00,0.80021,0.8003,0.80002999,0.80012,
USD/CHF,2025-10-15 21:00:00,0.80012,0.80054998,0.80008,0.80023003,
USD/CHF,2025-10-15 21:15:00,0.80026001,0.80075997,0.80024999,0.80069,
USD/CHF,2025-10-15 21:30:00,0.80069,0.80093998,0.80059999,0.80088001,
USD/CHF,2025-10-15 21:45:00,0.80088001,0.80110002,0.80059999,0.80066001,
USD/CHF,2025-10-15 22:00:00,0.80070001,0.80080003,0.80028999,0.80034,
USD/CHF,2025-10-15 22:15:00,0.80032998,0.80049998,0.79999,0.80015999,
USD/CHF,2025-10-15 22:30:00,0.80015999,0.80059999,0.80012,0.80044001,
USD/CHF,2025-10-15 22:45:00,0.80040002,0.80069,0.80026001,0.80044001,
USD/CHF,2025-10-15 23:00:00,0.80043,0.80072999,0.80012,0.80045998,
USD/CHF,2025-10-15 23:15:00,0.80045998,0.80065,0.80001003,0.80001003,
USD/CHF,2025-10-15 23:30:00,0.80001998,0.80045998,0.79975998,0.80040002,
USD/CHF,2025-10-15 23:45:00,0.80040002,0.80080998,0.80019999,0.80063999,
USD/CHF,2025-10-16 00:00:00,0.80061001,0.80083001,0.80028999,0.80062002,
USD/CHF,2025-10-16 00:15:00,0.80065,0.80083001,0.80032003,0.80040002,
USD/CHF,2025-10-16 00:30:00,0.80040997,0.80041999,0.79964,0.79970998,
USD/CHF,2025-10-16 00:45:00,0.79970998,0.79983997,0.79917002,0.79921001,
USD/CHF,2025-10-16 01:00:00,0.79921001,0.79953003,0.79885,0.79888999,
USD/CHF,2025-10-16 01:15:00,0.79890001,0.79913002,0.79848999,0.79894,
USD/CHF,2025-10-16 01:30:00,0.79891002,0.79943001,0.79877001,0.79931003,
USD/CHF,2025-10-16 01:45:00,0.79935002,0.79938,0.79856998,0.79857999,
USD/CHF,2025-10-16 02:00:00,0.79859,0.79909003,0.79846001,0.7985,
USD/CHF,2025-10-16 02:15:00,0.7985,0.79865003,0.79749,0.79781997,
USD/CHF,2025-10-16 02:30:00,0.79781002,0.79789001,0.79579997,0.79593998,
USD/CHF,2025-10-16 02:45:00,0.79597998,0.79750001,0.79562002,0.79712999,
USD/CHF,2025-10-16 03:00:00,0.79712999,0.79784,0.79710001,0.79767001,
USD/CHF,2025-10-16 03:15:00,0.79768997,0.79772002,0.79711998,0.79720002,
USD/CHF,2025-10-16 03:30:00,0.79721999,0.79733998,0.79676002,0.79676998,
USD/CHF,2025-10-16 03:45:00,0.79679,0.79724002,0.79664999,0.79664999,
USD/CHF,2025-10-16 04:00:00,0.79666001,0.79689997,0.79633999,0.79680002,
USD/CHF,2025-10-16 04:15:00,0.79677999,0.79728001,0.7967,0.79712999,
USD/CHF,2025-10-16 04:30:00,0.79711998,0.79768002,0.79705,0.79737997,
USD/CHF,2025-10-16 04:45:00,0.79737997,0.79773003,0.79737002,0.79747999,
USD/CHF,2025-10-16 05:00:00,0.79750001,0.79764003,0.79727,0.79745001,
USD/CHF,2025-10-16 05:15:00,0.79745001,0.79763001,0.79690999,0.79715002,
USD/CHF,2025-10-16 05:30:00,0.79712999,0.79737002,0.79701,0.79724997,
USD/CHF,2025-10-16 05:45:00,0.79724997,0.79759997,0.79721999,0.79743999,
USD/CHF,2025-10-16 06:00:00,0.79741001,0.79745001,0.79698002,0.79707998,
USD/CHF,2025-10-16 06:15:00,0.79707003,0.79720002,0.79696,0.79705,
USD/CHF,2025-10-16 06:30:00,0.79702997,0.79711998,0.79676998,0.79702002,
USD/CHF,2025-10-16 06:45:00,0.79705,0.79710001,0.79667997,0.79679,
USD/CHF,2025-10-16 07:00:00,0.79680997,0.79689997,0.79655999,0.79672003,
USD/CHF,2025-10-16 07:15:00,0.79674,0.79692,0.79650998,0.79692,
USD/CHF,2025-10-16 07:30:00,0.79686999,0.79694998,0.79671001,0.79692,
USD/CHF,2025-10-16 07:45:00,0.79688001,0.79702002,0.79628998,0.79644001,
USD/CHF,2025-10-16 08:00:00,0.79628003,0.79723001,0.79584998,0.79650003,
USD/CHF,2025-10-16 08:15:00,0.79650998,0.79697001,0.79588002,0.79689002,
USD/CHF,2025-10-16 08:30:00,0.79661,0.79710001,0.79623997,0.79683,
USD/CHF,2025-10-16 08:45:00,0.79663998,0.79699999,0.79578,0.79667002,
USD/CHF,2025-10-16 09:00:00,0.79624999,0.79672003,0.79595,0.79654998,
USD/CHF,2025-10-16 09:15:00,0.79654002,0.79659998,0.79636002,0.79650003,
USD/CHF,2025-10-16 09:30:00,0.79650003,0.79657,0.79624999,0.79635,
USD/CHF,2025-10-16 09:45:00,0.79628998,0.79658997,0.79615003,0.79658997,
USD/CHF,2025-10-16 10:00:00,0.79654998,0.7967,0.79646999,0.79654998,
USD/CHF,2025-10-16 10:15:00,0.79657,0.79659998,0.79653001,0.79655999,
USD/JPY,2025-10-14 04:00:00,152.27499,152.347,152.25999,152.299,
USD/JPY,2025-10-14 04:15:00,152.29401,152.306,152.243,152.26199,
USD/JPY,2025-10-14 04:30:00,152.25999,152.287,152.235,152.272,
USD/JPY,2025-10-14 04:45:00,152.272,152.28,152.228,152.25999,
USD/JPY,2025-10-14 05:00:00,152.259,152.267,152.222,152.235,
USD/JPY,2025-10-14 05:15:00,152.235,152.256,152.222,152.24699,
USD/JPY,2025-10-14 05:30:00,152.24699,152.289,152.21201,152.28,
USD/JPY,2025-10-14 05:45:00,152.28,152.334,152.276,152.283,
USD/JPY,2025-10-14 06:00:00,152.27699,152.28999,152.252,152.27499,
USD/JPY,2025-10-14 06:15:00,152.27,152.28,152.24699,152.27499,
USD/JPY,2025-10-14 06:30:00,152.27299,152.299,152.256,152.28999,
USD/JPY,2025-10-14 06:45:00,152.286,152.325,152.282,152.321,
USD/JPY,2025-10-14 07:00:00,152.32201,152.33501,152.295,152.325,
USD/JPY,2025-10-14 07:15:00,152.32001,152.35001,152.302,152.34,
USD/JPY,2025-10-14 07:30:00,152.34,152.349,152.30901,152.31,
USD/JPY,2025-10-14 07:45:00,152.30701,152.34,152.259,152.263,
USD/JPY,2025-10-14 08:00:00,152.26401,152.26401,152.16499,152.189,
USD/JPY,2025-10-14 08:15:00,152.174,152.226,152.16701,152.20399,
USD/JPY,2025-10-14 08:30:00,152.205,152.233,152.174,152.187,
USD/JPY,2025-10-14 08:45:00,152.186,152.256,152.15601,152.23,
USD/JPY,2025-10-14 09:00:00,152.23599,152.26801,152.181,152.196,
USD/JPY,2025-10-14 09:15:00,152.19701,152.272,152.179,152.261,
USD/JPY,2025-10-14 09:30:00,152.261,152.32201,152.25301,152.31599,
USD/JPY,2025-10-14 09:45:00,152.317,152.345,152.26601,152.34,
USD/JPY,2025-10-14 10:00:00,152.334,152.38,152.321,152.34801,
USD/JPY,2025-10-14 10:15:00,152.345,152.35201,152.30499,152.341,
USD/JPY,2025-10-14 10:30:00,152.34,152.354,152.27499,152.34,
USD/JPY,2025-10-14 10:45:00,152.334,152.46001,152.287,152.451,
USD/JPY,2025-10-14 11:00:00,152.451,152.537,152.423,152.45,
USD/JPY,2025-10-14 11:15:00,152.451,152.578,152.45,152.56599,
USD/JPY,2025-10-14 11:30:00,152.56599,152.61301,152.526,152.535,
USD/JPY,2025-10-14 11:45:00,152.535,152.562,152.43201,152.467,
USD/JPY,2025-10-14 12:00:00,152.46201,152.46899,152.349,152.38901,
USD/JPY,2025-10-14 12:15:00,152.38499,152.49899,152.37399,152.476,
USD/JPY,2025-10-14 12:30:00,152.46899,152.49899,152.41,152.44501,
USD/JPY,2025-10-14 12:45:00,152.44299,152.47701,152.37399,152.45799,
USD/JPY,2025-10-14 13:00:00,152.452,152.468,152.39101,152.459,
USD/JPY,2025-10-14 13:15:00,152.45399,152.476,152.436,152.44,
USD/JPY,2025-10-14 13:30:00,152.44,152.48599,152.436,152.45599,
USD/JPY,2025-10-14 13:45:00,152.452,152.47701,152.354,152.37601,
USD/JPY,2025-10-14 14:00:00,152.37601,152.394,152.29201,152.314,
