crypto,timestamp,open,high,low,close
BTC/USD,2025-10-14 02:45:00,113949.99,114048.0,113701.0,113703.75
BTC/USD,2025-10-14 03:00:00,113703.74,113731.59,113343.3,113579.01
BTC/USD,2025-10-14 03:15:00,113579.01,113778.96,113382.81,113400.0
BTC/USD,2025-10-14 03:30:00,113399.99,113608.0,113371.51,113573.28
BTC/USD,2025-10-14 03:45:00,113573.27,113779.88,113504.54,113574.95
BTC/USD,2025-10-14 04:00:00,113574.95,113684.98,113279.85,113505.86
BTC/USD,2025-10-14 04:15:00,113505.78,113621.0,113350.0,113558.76
BTC/USD,2025-10-14 04:30:00,113558.76,113558.76,113178.75,113255.56
BTC/USD,2025-10-14 04:45:00,113255.58,113269.57,112842.0,113132.96
BTC/USD,2025-10-14 05:00:00,113135.6,113768.23,113071.15,113580.0
BTC/USD,2025-10-14 05:15:00,113575.77,113628.97,113023.5,113111.03
BTC/USD,2025-10-14 05:30:00,113113.38,113196.75,112464.27,112575.36
BTC/USD,2025-10-14 05:45:00,112575.36,112784.0,112465.99,112566.84
BTC/USD,2025-10-14 06:00:00,112570.0,112787.37,112545.89,112637.76
BTC/USD,2025-10-14 06:15:00,112629.02,112640.22,112339.72,112375.55
BTC/USD,2025-10-14 06:30:00,112378.12,112526.81,111880.01,111920.15
BTC/USD,2025-10-14 06:45:00,111920.0,112213.63,111444.0,112053.02
BTC/USD,2025-10-14 07:00:00,112053.02,112224.79,111734.16,112018.0
BTC/USD,2025-10-14 07:15:00,112023.96,112278.92,111862.45,112158.0
BTC/USD,2025-10-14 07:30:00,112169.61,112176.9,111585.96,111743.95
BTC/USD,2025-10-14 07:45:00,111738.69,111849.49,111545.91,111799.44
BTC/USD,2025-10-14 08:00:00,111794.0,111997.89,111591.28,111969.11
BTC/USD,2025-10-14 08:15:00,111976.82,112082.79,111735.21,112058.02
BTC/USD,2025-10-14 08:30:00,112054.13,112228.01,111997.14,112167.39
BTC/USD,2025-10-14 08:45:00,112166.5,112214.79,111832.75,111907.35
BTC/USD,2025-10-14 09:00:00,111907.35,112104.6,111845.99,111868.19
BTC/USD,2025-10-14 09:15:00,111867.91,111994.0,111719.67,111861.88
BTC/USD,2025-10-14 09:30:00,111858.39,111998.79,111505.09,111596.31
BTC/USD,2025-10-14 09:45:00,111604.99,111640.35,111127.51,111364.0
BTC/USD,2025-10-14 10:00:00,111372.0,111423.54,110924.0,111027.71
BTC/USD,2025-10-14 10:15:00,111027.6,111049.5,110435.97,110470.74
BTC/USD,2025-10-14 10:30:00,110470.74,110770.92,110127.0,110461.63
BTC/USD,2025-10-14 10:45:00,110461.95,110802.0,110254.0,110712.45
BTC/USD,2025-10-14 11:00:00,110714.28,111444.0,110698.7,111437.77
BTC/USD,2025-10-14 11:15:00,111437.02,111701.67,111317.09,111567.75
BTC/USD,2025-10-14 11:30:00,111567.74,111719.66,111372.71,111415.95
BTC/USD,2025-10-14 11:45:00,111415.85,111627.99,111335.74,111394.48
BTC/USD,2025-10-14 12:00:00,111395.66,111454.88,111032.75,111345.14
BTC/USD,2025-10-14 12:15:00,111345.14,111373.3,111035.83,111330.43
BTC/USD,2025-10-14 12:30:00,111330.43,111368.26,110838.42,110960.63
BTC/USD,2025-10-14 12:45:00,110960.61,111213.01,110814.24,110889.47
BTC/USD,2025-10-14 13:00:00,110889.47,111038.88,110555.59,110779.99
BTC/USD,2025-10-14 13:15:00,110780.0,110887.9,110416.02,110836.88
BTC/USD,2025-10-14 13:30:00,110836.88,110991.27,109945.86,110765.09
BTC/USD,2025-10-14 13:45:00,110764.8,111421.54,110587.74,111088.61
BTC/USD,2025-10-14 14:00:00,111093.36,111792.0,110987.6,111756.5
BTC/USD,2025-10-14 14:15:00,111756.51,112284.98,111660.38,111906.09
BTC/USD,2025-10-14 14:30:00,111906.04,112015.51,111438.0,111907.72
BTC/USD,2025-10-14 14:45:00,111905.75,112207.64,111421.72,111477.27
BTC/USD,2025-10-14 15:00:00,111477.25,111859.0,111170.38,111244.41
BTC/USD,2025-10-14 15:15:00,111244.0,111585.0,111111.0,111555.07
BTC/USD,2025-10-14 15:30:00,111552.01,112343.5,111426.71,112198.06
BTC/USD,2025-10-14 15:45:00,112198.06,112979.99,112155.25,112960.11
BTC/USD,2025-10-14 16:00:00,112954.84,112982.36,112334.17,112576.01
BTC/USD,2025-10-14 16:15:00,112577.04,113272.0,112477.27,112801.6
BTC/USD,2025-10-14 16:30:00,112805.05,112957.0,112359.75,112829.56
BTC/USD,2025-10-14 16:45:00,112829.57,112941.95,112261.92,112398.04
BTC/USD,2025-10-14 17:00:00,112398.05,112935.63,111756.05,112822.29
BTC/USD,2025-10-14 17:15:00,112822.07,113008.52,112694.0,112890.79
BTC/USD,2025-10-14 17:30:00,112858.83,112993.56,112424.71,112759.12
BTC/USD,2025-10-14 17:45:00,112761.74,113010.13,112704.14,112844.01
BTC/USD,2025-10-14 18:00:00,112844.02,113441.59,112792.0,113328.0
BTC/USD,2025-10-14 18:15:00,113328.0,113533.01,113205.31,113223.11
BTC/USD,2025-10-14 18:30:00,113223.11,113419.37,112839.5,112900.01
BTC/USD,2025-10-14 18:45:00,112900.01,113189.61,112708.8,112903.59
BTC/USD,2025-10-14 19:00:00,112910.0,113253.03,112910.0,113227.66
BTC/USD,2025-10-14 19:15:00,113223.11,113611.36,113223.11,113429.85
BTC/USD,2025-10-14 19:30:00,113429.84,113498.29,112065.45,112173.7
BTC/USD,2025-10-14 19:45:00,112181.34,112872.03,112087.2,112664.75
BTC/USD,2025-10-14 20:00:00,112660.02,112833.68,112265.02,112614.0
