symbol,timestamp,open,high,low,close,volume
EWJ,2025-10-09 15:15:00,81.5208,81.575,81.5,81.545,115891.0
EWJ,2025-10-09 15:30:00,81.545,81.585,81.54,81.575,112962.0
EWJ,2025-10-09 15:45:00,81.57,81.63,81.54,81.56,506479.0
EWJ,2025-10-10 09:30:00,79.83,80.07,79.7861,80.029999,551959.0
EWJ,2025-10-10 09:45:00,80.029999,80.035004,79.84,79.84,179511.0
EWJ,2025-10-10 10:00:00,79.84,79.85,79.685,79.6875,381582.0
EWJ,2025-10-10 10:15:00,79.695,79.775,79.635,79.71,176782.0
EWJ,2025-10-10 10:30:00,79.71,79.76,79.625,79.68,233175.0
EWJ,2025-10-10 10:45:00,79.685,79.785,79.45,79.47,691623.0
EWJ,2025-10-10 11:00:00,79.47,79.47,79.15,79.38,805174.0
EWJ,2025-10-10 11:15:00,79.37,79.435,78.95,79.055,622987.0
EWJ,2025-10-10 11:30:00,79.05,79.125,78.81,79.125,846232.0
EWJ,2025-10-10 11:45:00,79.12,79.255,78.925,79.06,534730.0
EWJ,2025-10-10 12:00:00,79.06,79.06,78.9,79.05,384051.0
EWJ,2025-10-10 12:15:00,79.04,79.065,78.84,78.895,383221.0
EWJ,2025-10-10 12:30:00,78.895,78.99,78.821,78.85,326135.0
EWJ,2025-10-10 12:45:00,78.85,78.89,78.655,78.67,392642.0
EWJ,2025-10-10 13:00:00,78.66,78.69,78.48,78.53,316217.0
EWJ,2025-10-10 13:15:00,78.54,78.67,78.51,78.65,282784.0
EWJ,2025-10-10 13:30:00,78.65,78.735,78.58,78.625,272340.0
EWJ,2025-10-10 13:45:00,78.62,78.63,78.525,78.59,376252.0
EWJ,2025-10-10 14:00:00,78.6,78.6255,78.485,78.625,229585.0
EWJ,2025-10-10 14:15:00,78.62,78.69,78.545,78.6,326438.0
EWJ,2025-10-10 14:30:00,78.6,78.65,78.49,78.49,280719.0
EWJ,2025-10-10 14:45:00,78.49,78.55,78.39,78.425,224242.0
EWJ,2025-10-10 15:00:00,78.43,78.5351,78.355,78.3951,214741.0
EWJ,2025-10-10 15:15:00,78.39,78.485,78.33,78.38,284287.0
EWJ,2025-10-10 15:30:00,78.37,78.435,78.205,78.425,462787.0
EWJ,2025-10-10 15:45:00,78.43,78.49,78.27,78.38,1144415.0
EWJ,2025-10-10 16:00:00,78.36,78.54,78.16,78.16,1095004.0
EWJ,2025-10-10 16:15:00,78.36,78.36,78.015,78.015,6423.0
EWJ,2025-10-10 16:30:00,78.35,78.42,78.0,78.0,691.0
EWJ,2025-10-10 16:45:00,78.01,78.77,77.62,77.62,2777.0
EWJ,2025-10-10 17:00:00,77.651,78.25,77.651,77.99,406.0
EWJ,2025-10-10 17:15:00,78.15,78.15,77.79,77.79,156.0
EWJ,2025-10-10 17:30:00,78.0,78.0,77.73,77.73,205.0
EWJ,2025-10-10 17:45:00,77.9,78.2499,77.65,77.99,2738.0
EWJ,2025-10-10 18:00:00,77.71,77.71,77.62,77.65,286.0
EWJ,2025-10-10 18:15:00,77.63,77.65,77.62,77.63,1056.0
