bond,timestamp,yield
US2Y,2025-10-14 13:45:00,3.4806
US2Y,2025-10-14 14:00:00,3.4806
US2Y,2025-10-14 14:15:00,3.4806
US2Y,2025-10-14 14:30:00,3.4827
US2Y,2025-10-14 14:45:00,3.4786
US2Y,2025-10-14 15:00:00,3.4744
US2Y,2025-10-14 15:15:00,3.4765
US2Y,2025-10-14 15:30:00,3.4703
US2Y,2025-10-14 15:45:00,3.4744
US2Y,2025-10-15 09:30:00,3.4848
US2Y,2025-10-15 09:45:00,3.4806
US2Y,2025-10-15 10:00:00,3.489
US2Y,2025-10-15 10:15:00,3.4869
US2Y,2025-10-15 10:30:00,3.4869
US2Y,2025-10-15 10:45:00,3.491
US2Y,2025-10-15 11:00:00,3.4931
US2Y,2025-10-15 11:15:00,3.491
US2Y,2025-10-15 11:30:00,3.4869
US2Y,2025-10-15 11:45:00,3.5056
US2Y,2025-10-15 12:00:00,3.5035
US2Y,2025-10-15 12:15:00,3.5098
US2Y,2025-10-15 12:30:00,3.5118
US2Y,2025-10-15 12:45:00,3.5077
US2Y,2025-10-15 13:00:00,3.5035
US2Y,2025-10-15 13:15:00,3.5056
US2Y,2025-10-15 13:30:00,3.5035
US2Y,2025-10-15 13:45:00,3.5056
US2Y,2025-10-15 14:00:00,3.5056
US2Y,2025-10-15 14:15:00,3.5035
US2Y,2025-10-15 14:30:00,3.5056
US2Y,2025-10-15 14:45:00,3.5035
US2Y,2025-10-15 15:00:00,3.5014
US2Y,2025-10-15 15:15:00,3.5035
US2Y,2025-10-15 15:30:00,3.5014
US2Y,2025-10-15 15:45:00,3.4994
US2Y,2025-10-16 09:30:00,3.5118
US2Y,2025-10-16 09:45:00,3.5097
US2Y,2025-10-16 10:00:00,3.5056
US2Y,2025-10-16 10:15:00,3.5014
US2Y,2025-10-16 10:30:00,3.5014
US2Y,2025-10-16 10:45:00,3.4952
US2Y,2025-10-16 11:00:00,3.4931
US2Y,2025-10-16 11:15:00,3.4868
US2Y,2025-10-16 11:30:00,3.4847
US2Y,2025-10-16 11:45:00,3.4743
US2Y,2025-10-16 12:00:00,3.4722
US2Y,2025-10-16 12:15:00,3.443
US2Y,2025-10-16 12:30:00,3.4222
US2Y,2025-10-16 12:45:00,3.4451
US2Y,2025-10-16 13:00:00,3.4389
US2Y,2025-10-16 13:15:00,3.4409
US2Y,2025-10-16 13:30:00,3.4451
US2Y,2025-10-16 13:45:00,3.4305
US2Y,2025-10-16 14:00:00,3.4243
US2Y,2025-10-16 14:15:00,3.4181
US2Y,2025-10-16 14:30:00,3.4243
US2Y,2025-10-16 14:45:00,3.4264
US2Y,2025-10-16 15:00:00,3.4264
US2Y,2025-10-16 15:15:00,3.4264
US2Y,2025-10-16 15:30:00,3.4222
US2Y,2025-10-16 15:45:00,3.4201
US2Y,2025-10-17 09:30:00,3.4489
US2Y,2025-10-17 09:45:00,3.4553
US2Y,2025-10-17 10:00:00,3.4574
US2Y,2025-10-17 10:15:00,3.4678
US2Y,2025-10-17 10:30:00,3.4594
US2Y,2025-10-17 10:45:00,3.4594
US2Y,2025-10-17 11:00:00,3.4636
US2Y,2025-10-17 11:15:00,3.4553
US2Y,2025-10-17 11:30:00,3.4553
US2Y,2025-10-17 11:45:00,3.4594
US2Y,2025-10-17 12:00:00,3.4636
US2Y,2025-10-17 12:15:00,3.4574
US2Y,2025-10-17 12:30:00,3.4574
US2Y,2025-10-17 12:45:00,3.4594
US2Y,2025-10-17 13:00:00,3.4574
US2Y,2025-10-17 13:15:00,3.4553
