symbol,timestamp,open,high,low,close,volume
EWJ,2025-10-10 13:00:00,78.66,78.69,78.48,78.53,316217.0
EWJ,2025-10-10 13:15:00,78.54,78.67,78.51,78.65,282784.0
EWJ,2025-10-10 13:30:00,78.65,78.735,78.58,78.625,272340.0
EWJ,2025-10-10 13:45:00,78.62,78.63,78.525,78.59,376252.0
EWJ,2025-10-10 14:00:00,78.6,78.6255,78.485,78.625,229585.0
EWJ,2025-10-10 14:15:00,78.62,78.69,78.545,78.6,326438.0
EWJ,2025-10-10 14:30:00,78.6,78.65,78.49,78.49,280719.0
EWJ,2025-10-10 14:45:00,78.49,78.55,78.39,78.425,224242.0
EWJ,2025-10-10 15:00:00,78.43,78.5351,78.355,78.3951,214741.0
EWJ,2025-10-10 15:15:00,78.39,78.485,78.33,78.38,284287.0
EWJ,2025-10-10 15:30:00,78.37,78.435,78.205,78.425,462787.0
EWJ,2025-10-10 15:45:00,78.43,78.49,78.27,78.38,1144415.0
EWJ,2025-10-10 16:00:00,78.36,78.54,78.16,78.16,1095004.0
EWJ,2025-10-10 16:15:00,78.36,78.36,78.015,78.015,6423.0
EWJ,2025-10-10 16:30:00,78.35,78.42,78.0,78.0,691.0
EWJ,2025-10-10 16:45:00,78.01,78.77,77.62,77.62,2777.0
EWJ,2025-10-10 17:00:00,77.651,78.25,77.651,77.99,406.0
EWJ,2025-10-10 17:15:00,78.15,78.15,77.79,77.79,156.0
EWJ,2025-10-10 17:30:00,78.0,78.0,77.73,77.73,205.0
EWJ,2025-10-10 17:45:00,77.9,78.2499,77.65,77.99,2738.0
EWJ,2025-10-10 18:00:00,77.71,77.71,77.62,77.65,286.0
EWJ,2025-10-10 18:15:00,77.63,77.65,77.62,77.63,1056.0
EWJ,2025-10-10 18:30:00,78.36,78.36,77.62,77.98,363465.0
EWJ,2025-10-10 18:45:00,77.63,77.8,77.62,77.77,272.0
EWJ,2025-10-10 19:00:00,77.75,78.03,77.62,78.03,253.0
EWJ,2025-10-10 19:15:00,77.63,77.64,77.63,77.64,18.0
EWJ,2025-10-10 19:30:00,77.97,78.02,77.97,77.97,40.0
EWJ,2025-10-10 19:45:00,78.02,78.15,77.62,77.62,155.0
EWJ,2025-10-10 20:00:00,78.36,78.36,78.36,78.36,362163.0
EWJ,2025-10-13 04:00:00,79.68,79.68,78.9,79.05,670.0
EWJ,2025-10-13 04:15:00,79.05,79.05,78.93,78.93,55.0
EWJ,2025-10-13 04:30:00,78.9,78.93,78.9,78.93,12.0
EWJ,2025-10-13 04:45:00,78.87,78.87,78.87,78.87,267.0
EWJ,2025-10-13 05:00:00,78.99,78.99,78.91,78.91,375.0
EWJ,2025-10-13 05:15:00,78.94,78.97,78.9,78.95,811.0
EWJ,2025-10-13 05:30:00,78.98,79.03,78.94,79.03,597.0
EWJ,2025-10-13 05:45:00,78.97,79.04,78.91,78.91,207.0
EWJ,2025-10-13 06:00:00,79.0,79.0,79.0,79.0,10.0
EWJ,2025-10-13 06:15:00,78.98,78.98,78.95,78.96,94.0
EWJ,2025-10-13 06:45:00,78.97,79.0,78.8,78.8,302.0
EWJ,2025-10-13 07:00:00,78.97,78.97,78.89,78.89,52.0
